Uuid,Void/Retire,Frequency per day,Concept frequency,_version:1,_order:7000
0993f704-8660-4bb1-8ea0-d4fb795692ad,,2,Twice daily before meals,,
d1fc1c09-c9d7-4230-875e-3c026e8ae614,,2,Twice daily with meals,,
76e99a95-77af-4e5e-818a-08288eae91ff,,3,"Thrice daily, after meals",,
12001e05-a367-4a04-8efb-bee093844326,,3,"Thrice daily, with meals",,
2c7909ff-4613-46d4-bbd4-fd8ee49f0aff,,3,"Thrice daily, before meals",,
79a28118-f47b-4540-9be6-e8deb93b5b96,,4,Four times daily,,
cd2ee7e4-2b1f-43c1-aa91-cdb854b7f8ce,,4,"Four times daily, before meals and at bedtime",,
b9e1bdb1-58ef-4310-86ed-25f36441a786,,4,"Four times daily, after meals and at bedtime",,
02b1307e-8903-4ff6-a402-336878b47959,,1,One time,,
af7c1fe6-d669-414e-b066-e9733f0de7a8,,12,Every two hours,,
136ebdb7-e989-47ct-8ec2-4e8b6ffe0ab1,,4,Every six hours,,
136ebdb1-e984-47cf-8ec2-4e6b2ffe0ab8,,6,Every four hours,,
336ebdb5-e985-47cf-8mc2-4e8b2ffe0a83,,8,Every three hours,,
736ebdb7-9989-47cf-8ec2-4e8b2ffe0ab2,,2,Every twelve hours,,
636ebdb4-e988-37cf-8ec2-4e9b2ffe8ab3,,24,Every hour,,
d442723e-3efc-444a-9e56-4a1c5757e5dc,,48,Every 30 min,,
b47ce35d-6481-415e-b04a-745f1317f68b,,,Every thirty-six hours,,
4b503274-e6fe-4693-973e-a918248aabaf,,,Every forty-eight hours,,
c071731c-75f7-4827-9cc4-7f03efc5e518,,,Every seventy-two hours,,
a5fdf6aa-f064-494c-ae40-02f5ae3c94c7,,,"Every Monday, Wednesday and Friday",,
8ee5587c-9c55-4931-8d86-07ab1cae7da4,,,Weekly,,
9ebef3ff-56de-4751-9d48-e7918e66d177,,,One time STAT,,
29cd51fc-3cf2-4136-b60f-c60e17c95842,,,Five times daily,,
03bdaefd-c691-4ca2-9917-41d84ff40ee8,,,Six times daily,,
33f00a2f-1847-4ada-bcbd-21d320db436e,,,Every other day,,
36e2780e-32bc-42c6-871a-c2d4c5bade57,,,Every day before noon,,
8927a3a4-25fb-4e0c-8c0f-28122102cdec,,,Every Three Months,,
23edbefa-93a6-4f0e-a6b8-b4fc513fb1a3,,,Every other day,,
ae5c4842-416a-4d03-a646-5648206d60da,,,After Twenty Fours Hours,,
e55b61fe-2991-4b25-8af1-8997c24aa5ac,,,After Fourty Eight Hours,,
f408198a-f4b0-46c7-8fc9-51d940c3b47f,,,Bi-weekly,,
76e64240-c550-4a5c-b92a-9fe74bddfdde,,,Monthly,,


